home_team,away_team,home_conference,away_conference,home_elo,away_elo,date,time (et)
Oregon,Idaho,Big Ten,Big Sky,1904.0,,2024-08-31,19:30
Texas Tech,Abilene Christian,Big 12,UAC,1541.0,,2024-08-31,19:30
Michigan,Fresno State,Big Ten,Mountain West,1973.0,1558.0,2024-08-31,19:30
Auburn,Alabama A&M,SEC,SWAC,1556.0,,2024-08-31,19:30
Kentucky,Southern Mississippi,SEC,Sun Belt,1594.0,1276.0,2024-08-31,19:45
BYU,Southern Illinois,Big 12,MVFC,1409.0,,2024-08-31,20:00
Charlotte,James Madison,American Athletic,Sun Belt,1203.0,1691.0,2024-08-31,20:00
San Diego State,Texas A&M-Commerce,Mountain West,Southland,1416.0,,2024-08-31,20:00
Texas State,Lamar,Sun Belt,Southland,1399.0,,2024-08-31,20:00
Louisiana,Grambling,Sun Belt,SWAC,1496.0,,2024-08-31,20:00
Georgia Tech,Georgia State,ACC,Sun Belt,,1416.0,2024-08-31,20:00
SMU,Houston Christian,ACC,Southland,,,2024-08-31,20:00
Louisiana Tech,Nicholls,Conference USA,Southland,1246.0,,2024-08-31,20:00
New Mexico State,Southeast Missouri State,Conference USA,Big South-OVC,1432.0,,2024-08-31,21:00
Arizona,New Mexico,Big 12,Mountain West,1714.0,,2024-08-31,22:30
Arizona State,Wyoming,Big 12,Mountain West,1355.0,1496.0,2024-08-31,22:30
Washington,Weber State,Big Ten,Big Sky,1752.0,,2024-08-31,23:00
LSU,USC,SEC,Big Ten,1823.0,1648.0,2024-09-01,19:30
Florida State,Boston College,ACC,ACC,,1396.0,2024-09-02,19:30
